1000012,0,1940-10-19,80,1970-12-30,2020-03-23
1000014,1,1970-12-30,22,1970-12-30,2020-03-23
1000015,0,1968-03-22,52,1970-12-30,2020-03-23
1000001,1,1938-09-27,82,1970-12-30,2020-03-23
1000002,1,1970-12-30,45,1970-12-30,2020-03-23
1000004,1,1970-12-30,39,1970-12-30,2020-03-23
1000005,0,1941-09-28,79,1970-12-30,2020-03-23
1000006,0,1944-11-30,76,1970-12-30,2020-03-23
1000007,0,1927-02-23,93,1970-12-30,2020-03-23
1000011,1,1970-12-30,23,1970-12-30,2017-05-17
1000013,1,1970-12-30,41,1970-12-30,1976-03-17
1000008,0,1952-12-08,68,1970-12-30,2020-03-23
1000003,1,1970-12-30,20,1970-12-30,2020-03-23
1000017,0,1970-12-30,10,1970-12-30,2020-03-23
1000018,1,1926-10-14,94,1970-12-30,2020-03-23
1000020,0,1939-08-27,81,1974-12-27,2020-03-23
1000021,0,1937-09-08,83,1970-12-30,2020-03-23
1000022,1,1947-09-18,73,1970-12-30,2020-03-23
1000016,1,1947-05-08,73,2001-07-12,2016-03-13
1000024,1,1977-05-12,17,1977-05-12,2020-03-23
1000025,1,1936-09-15,84,1970-12-30,2020-03-23
1000010,1,1943-09-01,77,1970-12-30,2020-03-23
1000023,1,1970-12-30,48,1970-12-30,2020-03-23
1000026,1,1947-06-28,73,1970-12-30,2020-03-23
1000030,1,1939-11-13,81,1970-12-30,2020-03-23
1000033,0,1970-12-30,23,1970-12-30,2020-03-23
1000031,0,1970-12-30,19,1970-12-30,2020-03-23
1000027,0,1970-12-30,26,1970-12-30,2020-03-23
1000034,1,1942-05-31,78,1970-12-30,2020-03-23
1000019,0,1970-12-30,2,1970-12-30,1977-07-28
1000035,1,1961-08-17,59,2009-08-16,2020-02-26
1000036,1,1934-02-26,86,1970-12-30,2020-03-23
1000028,1,1970-12-30,11,1970-12-30,2020-03-23
1000038,0,1951-10-12,69,1970-12-30,2020-03-23
1000032,1,1936-02-27,84,1970-12-30,2020-03-23
1000009,1,1970-12-30,46,1970-12-30,2020-03-23
1000040,0,1938-05-21,82,1970-12-30,2020-03-23
1000041,1,1961-07-11,59,2004-03-25,2020-03-23
1000042,1,1970-12-30,45,1970-12-30,2020-03-23
1000043,0,1953-05-06,67,1999-05-03,2009-10-12
1000044,0,1970-12-30,37,1970-12-30,2020-03-23
1000039,1,1982-07-16,38,1993-06-06,2020-03-23
1000045,1,1945-06-18,75,1970-12-30,2020-03-23
1000037,1,1970-12-30,42,1970-12-30,2020-03-23
1000029,1,1975-01-02,30,1975-01-02,2020-03-23
1000046,1,1921-05-13,99,1970-12-30,2020-03-23
1000047,0,1945-12-25,75,1970-12-30,2020-03-23
1000049,0,1970-12-30,37,1970-12-30,2020-03-23
1000048,0,1978-11-08,42,1979-12-16,1991-11-15
1000050,1,1929-09-21,91,1970-12-30,2020-03-23
1000051,1,1970-12-30,21,1970-12-30,2020-03-23
1000052,1,1970-12-30,8,1970-12-30,2020-03-23
1000053,0,1934-09-06,86,1970-12-30,2020-03-23
1000055,0,1970-12-30,8,1970-12-30,2020-03-23
1000056,0,1992-04-12,28,2012-11-03,2020-03-23
1000057,0,1970-12-30,47,1970-12-30,2020-03-23
1000058,0,1952-11-08,68,1970-12-30,2020-03-23
1000059,0,1949-05-31,71,1970-12-30,2020-03-23
1000060,0,1977-01-05,43,2006-06-22,2020-03-23
1000061,0,1970-12-30,33,1970-12-30,2020-03-23
1000062,1,1970-12-30,2,1970-12-30,2020-03-23
1000063,1,1970-12-30,17,1970-12-30,2020-03-23
1000054,1,1970-12-30,14,1970-12-30,1991-07-30
1000065,1,1970-12-30,1,1970-12-30,2020-03-23
1000066,0,1970-12-30,15,1970-12-30,2020-03-23
1000068,1,1975-02-10,16,1975-02-10,2020-03-23
1000069,1,1956-11-10,64,2006-05-17,2020-03-23
1000071,1,1948-05-23,72,1970-12-30,2020-03-23
1000072,1,1949-03-06,71,1970-12-30,2020-03-23
1000073,1,1970-12-30,30,1970-12-30,2020-03-23
1000074,1,1987-02-17,33,2005-02-01,2020-03-23
1000064,0,1970-12-30,49,1970-12-30,1991-09-22
1000067,0,1970-12-30,45,1970-12-30,2020-03-23
1000080,0,1970-12-30,30,1970-12-30,2020-03-23
1000079,1,1991-12-06,13,1991-12-06,1997-12-28
1000076,1,1973-02-15,2,1973-02-15,2020-03-23
1000081,0,1970-12-30,15,1970-12-30,2020-03-23
1000082,1,1970-12-30,39,1970-12-30,2020-03-23
1000075,0,1960-08-28,60,1970-12-30,2019-06-24
1000083,0,1970-12-30,17,1970-12-30,2020-03-23
1000070,1,1945-10-17,75,1994-10-28,1995-02-25
1000084,0,1970-12-30,34,1970-12-30,1977-07-08
1000085,0,1970-12-30,11,1970-12-30,2020-03-23
1000088,0,1920-05-04,100,1970-12-30,2020-03-23
